hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)","P4 (kW)","Q4 (kvar)"
0, 60.00000, 1.00717, 0.42905, 0.979497, 0.417256, 1.04185, 0.443815, 0, 0
0, 120.00000, 1.00722, 0.429072, 0.979489, 0.417254, 1.04242, 0.444058, 0, 0
0, 180.00000, 1.00726, 0.429092, 0.979481, 0.417251, 1.04293, 0.444277, 0, 0
0, 240.00000, 1.00731, 0.42911, 0.979475, 0.417249, 1.04339, 0.444474, 0, 0
0, 300.00000, 1.00734, 0.429125, 0.979469, 0.417247, 1.0438, 0.444651, 0, 0
0, 360.00000, 1.00738, 0.42914, 0.979464, 0.417246, 1.04418, 0.44481, 0, 0
0, 420.00000, 1.00741, 0.429152, 0.979459, 0.417244, 1.04451, 0.444954, 0, 0
0, 480.00000, 0.892722, 0.380298, 0.866982, 0.369326, 0.908921, 0.387194, 0, 0
0, 540.00000, 0.892739, 0.380305, 0.866978, 0.369326, 0.908918, 0.387193, 0, 0
0, 600.00000, 0.892753, 0.380311, 0.866975, 0.369325, 0.908916, 0.387192, 0, 0
0, 660.00000, 0.892766, 0.380317, 0.866972, 0.369324, 0.908914, 0.387192, 0, 0
0, 720.00000, 0.892778, 0.380322, 0.86697, 0.369323, 0.908912, 0.387192, 0, 0
0, 780.00000, 0.892788, 0.380326, 0.866967, 0.369323, 0.908911, 0.387191, 0, 0
0, 840.00000, 0.892798, 0.38033, 0.866965, 0.369322, 0.908909, 0.387191, 0, 0
0, 900.00000, 0.892806, 0.380334, 0.866963, 0.369322, 0.908908, 0.387191, 0, 0
0, 960.00000, 0.884112, 0.37663, 0.867061, 0.369364, 0.908906, 0.38719, 0, 0
0, 1020.00000, 0.884118, 0.376633, 0.86706, 0.369364, 0.908905, 0.38719, 0, 0
0, 1080.00000, 0.884124, 0.376635, 0.867058, 0.369363, 0.908905, 0.38719, 0, 0
0, 1140.00000, 0.884128, 0.376637, 0.867057, 0.369363, 0.908904, 0.38719, 0, 0
0, 1200.00000, 0.884133, 0.376639, 0.867056, 0.369363, 0.908903, 0.38719, 0, 0
0, 1260.00000, 0.884136, 0.376641, 0.867055, 0.369362, 0.908902, 0.38719, 0, 0
0, 1320.00000, 0.88414, 0.376642, 0.867054, 0.369362, 0.908902, 0.387189, 0, 0
0, 1380.00000, 0.884143, 0.376643, 0.867054, 0.369362, 0.908901, 0.387189, 0, 0
0, 1440.00000, 0.884146, 0.376645, 0.867053, 0.369362, 0.908901, 0.387189, 0, 0
0, 1500.00000, 0.884148, 0.376646, 0.867052, 0.369362, 0.9089, 0.387189, 0, 0
0, 1560.00000, 0.88415, 0.376647, 0.867052, 0.369361, 0.9089, 0.387189, 0, 0
0, 1620.00000, 0.884152, 0.376647, 0.867051, 0.369361, 0.9089, 0.387189, 0, 0
0, 1680.00000, 0.884154, 0.376648, 0.867051, 0.369361, 0.908899, 0.387189, 0, 0
0, 1740.00000, 0.884156, 0.376649, 0.86705, 0.369361, 0.908899, 0.387189, 0, 0
0, 1800.00000, 0.884157, 0.376649, 0.86705, 0.369361, 0.908899, 0.387189, 0, 0
0, 1860.00000, 0.884158, 0.37665, 0.867049, 0.369361, 0.908899, 0.387189, 0, 0
0, 1920.00000, 0.88416, 0.37665, 0.867049, 0.369361, 0.908898, 0.387189, 0, 0
0, 1980.00000, 0.884161, 0.376651, 0.867049, 0.369361, 0.908898, 0.387189, 0, 0
0, 2040.00000, 0.884162, 0.376651, 0.867049, 0.369361, 0.908898, 0.387189, 0, 0
0, 2100.00000, 0.884162, 0.376652, 0.867048, 0.369361, 0.908898, 0.387189, 0, 0
0, 2160.00000, 0.884163, 0.376652, 0.867048, 0.369361, 0.908898, 0.387189, 0, 0
0, 2220.00000, 0.884164, 0.376652, 0.867048, 0.369361, 0.908898, 0.387189, 0, 0
0, 2280.00000, 0.884165, 0.376653, 0.867048, 0.369361, 0.908898, 0.387189, 0, 0
0, 2340.00000, 0.884165, 0.376653, 0.867048, 0.369361, 0.908898, 0.387189, 0, 0
0, 2400.00000, 0.884166, 0.376653, 0.867048, 0.369361, 0.908897, 0.387188, 0, 0
0, 2460.00000, 0.884166, 0.376653, 0.867047, 0.36936, 0.908897, 0.387188, 0, 0
0, 2520.00000, 0.884166, 0.376653, 0.867047, 0.36936, 0.908897, 0.387188, 0, 0
0, 2580.00000, 0.884167, 0.376653, 0.867047, 0.36936, 0.908897, 0.387188, 0, 0
0, 2640.00000, 0.884167, 0.376654, 0.867047, 0.36936, 0.908897, 0.387188, 0, 0
0, 2700.00000, 0.884167, 0.376654, 0.867047, 0.36936, 0.908897, 0.387188, 0, 0
0, 2760.00000, 0.884044, 0.376601, 0.868418, 0.369944, 0.908897, 0.387189, 0, 0
0, 2820.00000, 0.884044, 0.376601, 0.868418, 0.369945, 0.908897, 0.387188, 0, 0
0, 2880.00000, 0.884044, 0.376601, 0.868418, 0.369945, 0.908897, 0.387188, 0, 0
0, 2940.00000, 0.884044, 0.376601, 0.868418, 0.369945, 0.908897, 0.387188, 0, 0
0, 3000.00000, 0.884045, 0.376601, 0.868418, 0.369944, 0.908897, 0.387188, 0, 0
0, 3060.00000, 0.884045, 0.376602, 0.868418, 0.369944, 0.908897, 0.387188, 0, 0
0, 3120.00000, 0.884045, 0.376602, 0.868418, 0.369944, 0.908897, 0.387188, 0, 0
0, 3180.00000, 0.884045, 0.376602, 0.868418, 0.369944, 0.908897, 0.387188, 0, 0
0, 3240.00000, 0.884045, 0.376602, 0.868418, 0.369944, 0.908897, 0.387188, 0, 0
0, 3300.00000, 0.884045, 0.376602, 0.868418, 0.369944, 0.908897, 0.387188, 0, 0
0, 3360.00000, 0.884045, 0.376602, 0.868418, 0.369944, 0.908897, 0.387188, 0, 0
0, 3420.00000, 0.884045, 0.376602, 0.868418, 0.369944, 0.908897, 0.387188, 0, 0
0, 3480.00000, 0.884046, 0.376602, 0.868418, 0.369944, 0.908897, 0.387188, 0, 0
0, 3540.00000, 0.884046, 0.376602, 0.868418, 0.369944, 0.908897, 0.387188, 0, 0
1, 0.00000, 0.884046, 0.376602, 0.868418, 0.369944, 0.908897, 0.387188, 0, 0
1, 60.00000, 0.885366, 0.377164, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 120.00000, 0.885366, 0.377164, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 180.00000, 0.885366, 0.377164, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 240.00000, 0.885366, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 300.00000, 0.885366, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 360.00000, 0.885366, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 420.00000, 0.885366, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 480.00000, 0.885367, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 540.00000, 0.885367, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 600.00000, 0.885367, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 660.00000, 0.885367, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 720.00000, 0.885367, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 780.00000, 0.885367, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 840.00000, 0.885367, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 900.00000, 0.885367, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 960.00000, 0.885367, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 1020.00000, 0.885367, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 1080.00000, 0.885367, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 1140.00000, 0.885367, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 1200.00000, 0.885367, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 1260.00000, 0.885367, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 1320.00000, 0.885367, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
1, 1380.00000, 0.885367, 0.377165, 0.872791, 0.371807, 0.908897, 0.387188, 0, 0
