hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)","P4 (kW)","Q4 (kvar)"
0, 60.00000, 0.638783, 0.272116, 0.636028, 0.270947, 0.645944, 0.275167, 0, 0
0, 120.00000, 0.638777, 0.272118, 0.636022, 0.270944, 0.645959, 0.275178, 0, 0
0, 180.00000, 0.638777, 0.272118, 0.636022, 0.270944, 0.645959, 0.275178, 0, 0
0, 240.00000, 0.638777, 0.272118, 0.636022, 0.270944, 0.645959, 0.275178, 0, 0
0, 300.00000, 0.638777, 0.272118, 0.636022, 0.270944, 0.645959, 0.275178, 0, 0
0, 360.00000, 0.638777, 0.272118, 0.636022, 0.270944, 0.645959, 0.275178, 0, 0
0, 420.00000, 0.638777, 0.272118, 0.636022, 0.270944, 0.645959, 0.275178, 0, 0
0, 480.00000, 0.638777, 0.272118, 0.636022, 0.270944, 0.645959, 0.275178, 0, 0
0, 540.00000, 0.638777, 0.272118, 0.636022, 0.270944, 0.645959, 0.275178, 0, 0
0, 600.00000, 0.638777, 0.272118, 0.636022, 0.270944, 0.645959, 0.275178, 0, 0
0, 660.00000, 0.638777, 0.272118, 0.636022, 0.270944, 0.645959, 0.275178, 0, 0
0, 720.00000, 0.638777, 0.272118, 0.636022, 0.270944, 0.645959, 0.275178, 0, 0
0, 780.00000, 0.638777, 0.272118, 0.636022, 0.270944, 0.645959, 0.275178, 0, 0
0, 840.00000, 0.638777, 0.272118, 0.636022, 0.270944, 0.645959, 0.275178, 0, 0
0, 900.00000, 0.638777, 0.272118, 0.636022, 0.270944, 0.645959, 0.275178, 0, 0
0, 960.00000, 0.672198, 0.286355, 0.667044, 0.284157, 0.683338, 0.291099, 0, 0
0, 1020.00000, 0.672195, 0.286354, 0.667035, 0.284156, 0.683342, 0.291102, 0, 0
0, 1080.00000, 0.672195, 0.286354, 0.667035, 0.284156, 0.683342, 0.291102, 0, 0
0, 1140.00000, 0.672195, 0.286354, 0.667035, 0.284156, 0.683342, 0.291102, 0, 0
0, 1200.00000, 0.672195, 0.286354, 0.667035, 0.284156, 0.683342, 0.291102, 0, 0
0, 1260.00000, 0.672195, 0.286354, 0.667035, 0.284156, 0.683342, 0.291102, 0, 0
0, 1320.00000, 0.672195, 0.286354, 0.667035, 0.284156, 0.683342, 0.291102, 0, 0
0, 1380.00000, 0.672195, 0.286354, 0.667035, 0.284156, 0.683342, 0.291102, 0, 0
0, 1440.00000, 0.672195, 0.286354, 0.667035, 0.284156, 0.683342, 0.291102, 0, 0
0, 1500.00000, 0.672195, 0.286354, 0.667035, 0.284156, 0.683342, 0.291102, 0, 0
0, 1560.00000, 0.672195, 0.286354, 0.667035, 0.284156, 0.683342, 0.291102, 0, 0
0, 1620.00000, 0.672195, 0.286354, 0.667035, 0.284156, 0.683342, 0.291102, 0, 0
0, 1680.00000, 0.672195, 0.286354, 0.667035, 0.284156, 0.683342, 0.291102, 0, 0
0, 1740.00000, 0.672195, 0.286354, 0.667035, 0.284156, 0.683342, 0.291102, 0, 0
0, 1800.00000, 0.672195, 0.286354, 0.667035, 0.284156, 0.683342, 0.291102, 0, 0
0, 1860.00000, 0.676029, 0.288002, 0.670781, 0.28575, 0.685465, 0.292021, 0, 0
0, 1920.00000, 0.676049, 0.287996, 0.6708, 0.285759, 0.685417, 0.291987, 0, 0
0, 1980.00000, 0.676049, 0.287996, 0.6708, 0.285759, 0.685417, 0.291986, 0, 0
0, 2040.00000, 0.676049, 0.287996, 0.6708, 0.285759, 0.685417, 0.291986, 0, 0
0, 2100.00000, 0.676049, 0.287996, 0.6708, 0.285759, 0.685417, 0.291986, 0, 0
0, 2160.00000, 0.676049, 0.287996, 0.6708, 0.285759, 0.685417, 0.291986, 0, 0
0, 2220.00000, 0.676049, 0.287996, 0.6708, 0.285759, 0.685417, 0.291986, 0, 0
0, 2280.00000, 0.676049, 0.287996, 0.6708, 0.285759, 0.685417, 0.291986, 0, 0
0, 2340.00000, 0.676049, 0.287996, 0.6708, 0.285759, 0.685417, 0.291986, 0, 0
0, 2400.00000, 0.676049, 0.287996, 0.6708, 0.285759, 0.685417, 0.291986, 0, 0
