hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,V4,VAngle4,I1,IAngle1,I2,IAngle2,I3,IAngle3,I4,IAngle4
0, 60.00000, 128.997, -30.3735, 127.794, -150.909, 127.389, 89.8711, 0, 0, 4.30713, -53.4472, 4.34763, -173.983, 4.36148, 66.7973, 0.101322, -66.6538
0, 120.00000, 129.016, -30.3759, 127.799, -150.918, 127.389, 89.8717, 0, 0, 4.30649, -53.4496, 4.34747, -173.992, 4.36148, 66.7978, 0.102497, -66.6509
0, 180.00000, 129.033, -30.3781, 127.803, -150.925, 127.389, 89.8722, 0, 0, 4.30591, -53.4518, 4.34732, -173.999, 4.36148, 66.7983, 0.103554, -66.6482
0, 240.00000, 129.049, -30.38, 127.807, -150.932, 127.389, 89.8726, 0, 0, 4.30539, -53.4538, 4.34719, -174.006, 4.36148, 66.7987, 0.104506, -66.6457
0, 300.00000, 129.062, -30.3818, 127.811, -150.938, 127.389, 89.873, 0, 0, 4.30493, -53.4556, 4.34707, -174.012, 4.36148, 66.7991, 0.105362, -66.6434
0, 360.00000, 129.075, -30.3834, 127.814, -150.944, 127.389, 89.8733, 0, 0, 4.30451, -53.4572, 4.34697, -174.018, 4.36148, 66.7994, 0.106133, -66.6413
0, 420.00000, 129.086, -30.3848, 127.817, -150.949, 127.389, 89.8736, 0, 0, 4.30413, -53.4586, 4.34687, -174.023, 4.36148, 66.7997, 0.106826, -66.6393
0, 480.00000, 129.096, -30.3861, 127.819, -150.953, 127.389, 89.8739, 0, 0, 4.30379, -53.4599, 4.34679, -174.027, 4.36148, 66.8, 0.107451, -66.6376
0, 540.00000, 129.106, -30.3872, 127.821, -150.957, 127.389, 89.8742, 0, 0, 4.30349, -53.4611, 4.34671, -174.031, 4.36148, 66.8003, 0.108013, -66.6359
0, 600.00000, 129.114, -30.3883, 127.823, -150.961, 127.389, 89.8744, 0, 0, 4.30321, -53.4621, 4.34664, -174.035, 4.36148, 66.8005, 0.108518, -66.6345
0, 660.00000, 129.121, -30.3892, 127.825, -150.964, 127.389, 89.8746, 0, 0, 4.30296, -53.4631, 4.34658, -174.038, 4.36148, 66.8007, 0.108974, -66.6331
0, 720.00000, 129.128, -30.3901, 127.827, -150.967, 127.389, 89.8748, 0, 0, 4.30274, -53.4639, 4.34652, -174.041, 4.36148, 66.8009, 0.109383, -66.6319
0, 780.00000, 129.134, -30.3908, 127.828, -150.97, 127.389, 89.875, 0, 0, 4.30254, -53.4647, 4.34647, -174.044, 4.36148, 66.801, 0.109752, -66.6308
0, 840.00000, 129.139, -30.3915, 127.83, -150.972, 127.389, 89.8751, 0, 0, 4.30236, -53.4654, 4.34643, -174.046, 4.36148, 66.8012, 0.110084, -66.6298
0, 900.00000, 129.144, -30.3921, 127.831, -150.974, 127.389, 89.8752, 0, 0, 4.3022, -53.466, 4.34639, -174.048, 4.36148, 66.8013, 0.110382, -66.6288
0, 960.00000, 129.097, -30.4004, 127.783, -150.984, 127.341, 89.8665, 0, 0, 4.55285, -53.4743, 4.59965, -174.058, 4.61562, 66.7925, 0.116899, -66.6581
0, 1020.00000, 129.101, -30.4009, 127.784, -150.985, 127.341, 89.8666, 0, 0, 4.55271, -53.4748, 4.59962, -174.059, 4.61562, 66.7927, 0.117155, -66.6574
0, 1080.00000, 129.104, -30.4014, 127.785, -150.987, 127.341, 89.8667, 0, 0, 4.55258, -53.4753, 4.59958, -174.061, 4.61562, 66.7928, 0.117386, -66.6566
0, 1140.00000, 129.107, -30.4018, 127.785, -150.988, 127.341, 89.8668, 0, 0, 4.55247, -53.4757, 4.59956, -174.062, 4.61562, 66.7928, 0.117593, -66.656
