hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)","P4 (kW)","Q4 (kvar)"
0, 60.00000, 0.976749, 0.416093, 0.976751, 0.416094, 0.97675, 0.416094, 0, 0
0, 120.00000, 0.976751, 0.416094, 0.976751, 0.416094, 0.976751, 0.416094, 0, 0
0, 180.00000, 0.976751, 0.416094, 0.976751, 0.416094, 0.976751, 0.416094, 0, 0
0, 240.00000, 0.976751, 0.416094, 0.976751, 0.416094, 0.976751, 0.416094, 0, 0
0, 300.00000, 0.976751, 0.416094, 0.976751, 0.416094, 0.976751, 0.416094, 0, 0
0, 360.00000, 0.976751, 0.416094, 0.976751, 0.416094, 0.976751, 0.416094, 0, 0
0, 420.00000, 0.976751, 0.416094, 0.976751, 0.416094, 0.976751, 0.416094, 0, 0
0, 480.00000, 0.976751, 0.416094, 0.976751, 0.416094, 0.976751, 0.416094, 0, 0
0, 540.00000, 0.976751, 0.416094, 0.976751, 0.416094, 0.976751, 0.416094, 0, 0
0, 600.00000, 0.976751, 0.416094, 0.976751, 0.416094, 0.976751, 0.416094, 0, 0
0, 660.00000, 0.976751, 0.416094, 0.976751, 0.416094, 0.976751, 0.416094, 0, 0
0, 720.00000, 0.976751, 0.416094, 0.976751, 0.416094, 0.976751, 0.416094, 0, 0
0, 780.00000, 0.976751, 0.416094, 0.976751, 0.416094, 0.976751, 0.416094, 0, 0
0, 840.00000, 0.976751, 0.416094, 0.976751, 0.416094, 0.976751, 0.416094, 0, 0
0, 900.00000, 0.976751, 0.416094, 0.976751, 0.416094, 0.976751, 0.416094, 0, 0
0, 960.00000, 1.03328, 0.440177, 1.03326, 0.440168, 1.03326, 0.440165, 0, 0
0, 1020.00000, 1.03328, 0.440174, 1.03328, 0.440174, 1.03328, 0.440174, 0, 0
0, 1080.00000, 1.03328, 0.440174, 1.03328, 0.440174, 1.03328, 0.440174, 0, 0
0, 1140.00000, 1.03328, 0.440174, 1.03328, 0.440174, 1.03328, 0.440174, 0, 0
0, 1200.00000, 1.03328, 0.440174, 1.03328, 0.440174, 1.03328, 0.440174, 0, 0
0, 1260.00000, 1.03328, 0.440174, 1.03328, 0.440174, 1.03328, 0.440174, 0, 0
0, 1320.00000, 1.03328, 0.440174, 1.03328, 0.440174, 1.03328, 0.440174, 0, 0
0, 1380.00000, 1.03328, 0.440174, 1.03328, 0.440174, 1.03328, 0.440174, 0, 0
0, 1440.00000, 1.03328, 0.440174, 1.03328, 0.440174, 1.03328, 0.440174, 0, 0
0, 1500.00000, 1.03328, 0.440174, 1.03328, 0.440174, 1.03328, 0.440174, 0, 0
0, 1560.00000, 1.03328, 0.440174, 1.03328, 0.440174, 1.03328, 0.440174, 0, 0
0, 1620.00000, 1.03328, 0.440174, 1.03328, 0.440174, 1.03328, 0.440174, 0, 0
0, 1680.00000, 1.03328, 0.440174, 1.03328, 0.440174, 1.03328, 0.440174, 0, 0
0, 1740.00000, 1.03328, 0.440174, 1.03328, 0.440174, 1.03328, 0.440174, 0, 0
0, 1800.00000, 1.03328, 0.440174, 1.03328, 0.440174, 1.03328, 0.440174, 0, 0
0, 1860.00000, 1.03641, 0.44151, 1.03641, 0.44151, 1.03641, 0.44151, 0, 0
0, 1920.00000, 1.03641, 0.441511, 1.03641, 0.441511, 1.03641, 0.441511, 0, 0
0, 1980.00000, 1.03641, 0.441511, 1.03641, 0.441511, 1.03641, 0.441511, 0, 0
0, 2040.00000, 1.03641, 0.441511, 1.03641, 0.441511, 1.03641, 0.441511, 0, 0
0, 2100.00000, 1.03641, 0.441511, 1.03641, 0.441511, 1.03641, 0.441511, 0, 0
0, 2160.00000, 1.03641, 0.441511, 1.03641, 0.441511, 1.03641, 0.441511, 0, 0
0, 2220.00000, 1.03641, 0.441511, 1.03641, 0.441511, 1.03641, 0.441511, 0, 0
0, 2280.00000, 1.03641, 0.441511, 1.03641, 0.441511, 1.03641, 0.441511, 0, 0
0, 2340.00000, 1.03641, 0.441511, 1.03641, 0.441511, 1.03641, 0.441511, 0, 0
0, 2400.00000, 1.03641, 0.441511, 1.03641, 0.441511, 1.03641, 0.441511, 0, 0
