hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)","P4 (kW)","Q4 (kvar)"
0, 60.00000, 0.976715, 0.416063, 0.976753, 0.41609, 0.976776, 0.41606, 0, 0
0, 120.00000, 0.976718, 0.416065, 0.976753, 0.416091, 0.976774, 0.416063, 0, 0
0, 180.00000, 0.976721, 0.416068, 0.976753, 0.416091, 0.976772, 0.416066, 0, 0
0, 240.00000, 0.976724, 0.41607, 0.976753, 0.416092, 0.97677, 0.416068, 0, 0
0, 300.00000, 0.976727, 0.416073, 0.976752, 0.416092, 0.976768, 0.416071, 0, 0
0, 360.00000, 0.976729, 0.416075, 0.976752, 0.416092, 0.976766, 0.416073, 0, 0
0, 420.00000, 0.976731, 0.416076, 0.976752, 0.416092, 0.976765, 0.416075, 0, 0
0, 480.00000, 0.976733, 0.416078, 0.976752, 0.416093, 0.976763, 0.416077, 0, 0
0, 540.00000, 0.976735, 0.41608, 0.976752, 0.416093, 0.976762, 0.416078, 0, 0
0, 600.00000, 0.976736, 0.416081, 0.976752, 0.416093, 0.976761, 0.41608, 0, 0
0, 660.00000, 0.976738, 0.416082, 0.976752, 0.416093, 0.97676, 0.416081, 0, 0
0, 720.00000, 0.976739, 0.416084, 0.976752, 0.416093, 0.976759, 0.416083, 0, 0
0, 780.00000, 0.97674, 0.416085, 0.976752, 0.416093, 0.976759, 0.416084, 0, 0
0, 840.00000, 0.976741, 0.416086, 0.976752, 0.416093, 0.976758, 0.416085, 0, 0
0, 900.00000, 0.976742, 0.416086, 0.976752, 0.416093, 0.976757, 0.416086, 0, 0
0, 960.00000, 1.03327, 0.440167, 1.03328, 0.440173, 1.03328, 0.440166, 0, 0
0, 1020.00000, 1.03327, 0.440167, 1.03328, 0.440173, 1.03328, 0.440167, 0, 0
0, 1080.00000, 1.03327, 0.440168, 1.03328, 0.440173, 1.03328, 0.440167, 0, 0
0, 1140.00000, 1.03327, 0.440169, 1.03328, 0.440173, 1.03328, 0.440168, 0, 0
0, 1200.00000, 1.03327, 0.440169, 1.03328, 0.440174, 1.03328, 0.440169, 0, 0
0, 1260.00000, 1.03327, 0.44017, 1.03328, 0.440174, 1.03328, 0.440169, 0, 0
0, 1320.00000, 1.03327, 0.44017, 1.03328, 0.440174, 1.03328, 0.44017, 0, 0
0, 1380.00000, 1.03327, 0.44017, 1.03328, 0.440174, 1.03328, 0.44017, 0, 0
0, 1440.00000, 1.03327, 0.440171, 1.03328, 0.440174, 1.03328, 0.440171, 0, 0
0, 1500.00000, 1.03327, 0.440171, 1.03328, 0.440174, 1.03328, 0.440171, 0, 0
0, 1560.00000, 1.03327, 0.440171, 1.03328, 0.440174, 1.03328, 0.440171, 0, 0
0, 1620.00000, 1.03327, 0.440172, 1.03328, 0.440174, 1.03328, 0.440171, 0, 0
0, 1680.00000, 1.03327, 0.440172, 1.03328, 0.440174, 1.03328, 0.440172, 0, 0
0, 1740.00000, 1.03327, 0.440172, 1.03328, 0.440174, 1.03328, 0.440172, 0, 0
0, 1800.00000, 1.03327, 0.440172, 1.03328, 0.440174, 1.03328, 0.440172, 0, 0
0, 1860.00000, 1.03641, 0.441509, 1.03641, 0.441511, 1.03642, 0.441509, 0, 0
0, 1920.00000, 1.03641, 0.441509, 1.03641, 0.441511, 1.03642, 0.441509, 0, 0
0, 1980.00000, 1.03641, 0.44151, 1.03641, 0.441511, 1.03642, 0.44151, 0, 0
0, 2040.00000, 1.03641, 0.44151, 1.03641, 0.441511, 1.03642, 0.44151, 0, 0
0, 2100.00000, 1.03641, 0.44151, 1.03641, 0.441511, 1.03642, 0.44151, 0, 0
0, 2160.00000, 1.03641, 0.44151, 1.03641, 0.441511, 1.03642, 0.44151, 0, 0
0, 2220.00000, 1.03641, 0.44151, 1.03641, 0.441511, 1.03642, 0.44151, 0, 0
0, 2280.00000, 1.03641, 0.44151, 1.03641, 0.441511, 1.03642, 0.44151, 0, 0
0, 2340.00000, 1.03641, 0.44151, 1.03641, 0.441511, 1.03642, 0.44151, 0, 0
0, 2400.00000, 1.03641, 0.44151, 1.03641, 0.441511, 1.03642, 0.44151, 0, 0
0, 2460.00000, 1.03641, 0.44151, 1.03641, 0.441511, 1.03642, 0.44151, 0, 0
0, 2520.00000, 1.03641, 0.44151, 1.03641, 0.441511, 1.03642, 0.44151, 0, 0
0, 2580.00000, 1.03641, 0.44151, 1.03641, 0.441511, 1.03642, 0.44151, 0, 0
0, 2640.00000, 1.03641, 0.44151, 1.03641, 0.441511, 1.03642, 0.44151, 0, 0
0, 2700.00000, 1.03641, 0.441511, 1.03641, 0.441511, 1.03642, 0.441511, 0, 0
0, 2760.00000, 0.985779, 0.41994, 0.98578, 0.41994, 0.98578, 0.41994, 0, 0
0, 2820.00000, 0.985779, 0.41994, 0.98578, 0.41994, 0.98578, 0.41994, 0, 0
0, 2880.00000, 0.985779, 0.41994, 0.98578, 0.41994, 0.98578, 0.41994, 0, 0
0, 2940.00000, 0.985779, 0.41994, 0.98578, 0.41994, 0.98578, 0.41994, 0, 0
0, 3000.00000, 0.985779, 0.41994, 0.98578, 0.41994, 0.98578, 0.41994, 0, 0
0, 3060.00000, 0.985779, 0.41994, 0.98578, 0.41994, 0.98578, 0.41994, 0, 0
0, 3120.00000, 0.985779, 0.41994, 0.98578, 0.41994, 0.98578, 0.41994, 0, 0
