hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 125.769, -30.7505, 125.863, -150.696, 125.913, 89.3286, 0, 0, 4.21319, -53.8243, 4.21006, -173.77, 4.20839, 66.2547, 0.00679519, 56.9183
2, 0.00000, 125.769, -30.7505, 125.863, -150.696, 125.913, 89.3286, 0, 0, 4.21321, -53.8244, 4.21008, -173.77, 4.2084, 66.2546, 0.00679881, 56.952
3, 0.00000, 125.341, -30.8463, 125.462, -150.788, 125.505, 89.2373, 0, 0, 4.92044, -53.9198, 4.91569, -173.861, 4.91402, 66.1637, 0.00840722, 62.3905
4, 0.00000, 125.247, -30.8672, 125.375, -150.808, 125.416, 89.2175, 0, 0, 5.07451, -53.9411, 5.06934, -173.882, 5.06769, 66.1436, 0.00879894, 63.5851
5, 0.00000, 124.986, -30.9256, 125.131, -150.864, 125.167, 89.1619, 0, 0, 5.50438, -53.9992, 5.498, -173.937, 5.49642, 66.0882, 0.00992264, 66.5981
6, 0.00000, 124.807, -30.9655, 124.964, -150.902, 124.997, 89.1241, 0, 0, 5.79773, -54.0392, 5.79044, -173.976, 5.78892, 66.0503, 0.0107507, 68.5856
7, 0.00000, 124.884, -30.9067, 125.144, -150.868, 125.064, 89.1348, 0, 0, 6.77241, -53.9807, 6.75836, -173.942, 6.76266, 66.0607, 0.0116733, 121.035
8, 0.00000, 124.524, -30.987, 124.81, -150.944, 124.721, 89.0585, 0, 0, 7.3663, -54.0605, 7.34946, -174.018, 7.35466, 65.9849, 0.0139667, 121.277
9, 0.00000, 123.898, -31.1263, 124.23, -151.077, 124.127, 88.9264, 0, 0, 8.39413, -54.1994, 8.3718, -174.15, 8.3787, 65.8531, 0.0185006, 121.328
10, 0.00000, 123.618, -31.1885, 123.971, -151.136, 123.862, 88.8676, 0, 0, 8.85151, -54.262, 8.82634, -174.21, 8.83413, 65.7939, 0.0208321, 121.357
11, 0.00000, 120.618, -31.8517, 121.22, -151.765, 121.033, 88.2431, 0, 0, 13.687, -54.9254, 13.6191, -174.838, 13.6402, 65.1692, 0.0558693, 121.599
12, 0.00000, 121.242, -31.7142, 121.789, -151.635, 121.619, 88.372, 0, 0, 12.6917, -54.7883, 12.6346, -174.709, 12.6523, 65.298, 0.0469917, 121.575
13, 0.00000, 120.869, -31.7964, 121.448, -151.712, 121.268, 88.2948, 0, 0, 13.2877, -54.8694, 13.2246, -174.786, 13.2442, 65.2216, 0.0519879, 121.582
14, 0.00000, 120.472, -31.8837, 121.088, -151.795, 120.896, 88.2131, 0, 0, 13.9185, -54.9575, 13.8478, -174.869, 13.8697, 65.1392, 0.0581346, 121.617
15, 0.00000, 120.466, -31.8852, 121.082, -151.796, 120.89, 88.2117, 0, 0, 13.9291, -54.959, 13.8583, -174.87, 13.8802, 65.1379, 0.0582759, 121.625
16, 0.00000, 119.972, -31.9936, 120.634, -151.898, 120.428, 88.1104, 0, 0, 14.7102, -55.0673, 14.6296, -174.972, 14.6546, 65.0366, 0.0662434, 121.654
17, 0.00000, 120.161, -31.952, 120.806, -151.859, 120.605, 88.1493, 0, 0, 14.4107, -55.0265, 14.3337, -174.933, 14.3576, 65.075, 0.0633131, 121.658
18, 0.00000, 119.775, -32.0789, 120.325, -151.96, 120.249, 88.0741, 0, 0, 13.8718, -55.1527, 13.8084, -175.034, 13.8172, 65.0003, 0.0575981, 98.9036
19, 0.00000, 119.98, -32.0338, 120.512, -151.918, 120.441, 88.1164, 0, 0, 13.5491, -55.1084, 13.4893, -174.992, 13.4972, 65.042, 0.0547863, 98.2751
20, 0.00000, 122.938, -31.3811, 123.229, -151.298, 123.225, 88.7302, 0, 0, 8.83862, -54.4555, 8.81769, -174.373, 8.818, 65.656, 0.0224596, 84.663
21, 0.00000, 123.078, -31.3501, 123.358, -151.269, 123.357, 88.7594, 0, 0, 8.61319, -54.4242, 8.59362, -174.343, 8.59369, 65.6854, 0.0213343, 83.6338
22, 0.00000, 123.892, -31.1692, 124.113, -151.096, 124.128, 88.9307, 0, 0, 7.29238, -54.2432, 7.27939, -174.17, 7.2785, 65.8567, 0.0157385, 77.4313
23, 0.00000, 124.526, -31.0281, 124.702, -150.962, 124.73, 89.0646, 0, 0, 6.25786, -54.1028, 6.24895, -174.036, 6.24759, 65.9901, 0.0121822, 71.6781
24, 0.00000, 125.748, -30.7551, 125.843, -150.7, 125.893, 89.3242, 0, 0, 4.2468, -53.8301, 4.24355, -173.775, 4.24189, 66.2495, 0.00689414, 57.4251
25, 0.00000, 125.769, -30.7505, 125.863, -150.696, 125.913, 89.3285, 0, 0, 4.21326, -53.8247, 4.21011, -173.77, 4.20844, 66.2544, 0.00680295, 56.9808
26, 0.00000, 125.769, -30.7505, 125.863, -150.696, 125.913, 89.3286, 0, 0, 4.21321, -53.8244, 4.21008, -173.77, 4.2084, 66.2546, 0.00679886, 56.9526
27, 0.00000, 125.341, -30.8463, 125.462, -150.788, 125.505, 89.2373, 0, 0, 4.92044, -53.9198, 4.91569, -173.861, 4.91402, 66.1637, 0.00840722, 62.3905
28, 0.00000, 125.247, -30.8672, 125.375, -150.808, 125.416, 89.2175, 0, 0, 5.07451, -53.9411, 5.06934, -173.882, 5.06769, 66.1436, 0.00879894, 63.5851
29, 0.00000, 124.986, -30.9256, 125.131, -150.864, 125.167, 89.1619, 0, 0, 5.50438, -53.9992, 5.498, -173.937, 5.49642, 66.0882, 0.00992264, 66.5981
30, 0.00000, 124.807, -30.9655, 124.964, -150.902, 124.997, 89.1241, 0, 0, 5.79773, -54.0392, 5.79044, -173.976, 5.78892, 66.0503, 0.0107507, 68.5856
31, 0.00000, 124.884, -30.9067, 125.144, -150.868, 125.064, 89.1348, 0, 0, 6.77241, -53.9807, 6.75836, -173.942, 6.76266, 66.0607, 0.0116733, 121.035
32, 0.00000, 124.524, -30.987, 124.81, -150.944, 124.721, 89.0585, 0, 0, 7.3663, -54.0605, 7.34946, -174.018, 7.35466, 65.9849, 0.0139667, 121.277
33, 0.00000, 123.898, -31.1263, 124.23, -151.077, 124.127, 88.9264, 0, 0, 8.39413, -54.1994, 8.3718, -174.15, 8.3787, 65.8531, 0.0185006, 121.328
34, 0.00000, 123.618, -31.1885, 123.971, -151.136, 123.862, 88.8676, 0, 0, 8.85151, -54.262, 8.82634, -174.21, 8.83413, 65.7939, 0.0208321, 121.357
35, 0.00000, 120.618, -31.8517, 121.22, -151.765, 121.033, 88.2431, 0, 0, 13.687, -54.9254, 13.6191, -174.838, 13.6402, 65.1692, 0.0558693, 121.599
36, 0.00000, 121.242, -31.7142, 121.789, -151.635, 121.619, 88.372, 0, 0, 12.6917, -54.7883, 12.6346, -174.709, 12.6523, 65.298, 0.0469917, 121.575
37, 0.00000, 120.869, -31.7964, 121.448, -151.712, 121.268, 88.2948, 0, 0, 13.2877, -54.8694, 13.2246, -174.786, 13.2442, 65.2216, 0.0519879, 121.582
38, 0.00000, 120.472, -31.8837, 121.088, -151.795, 120.896, 88.2131, 0, 0, 13.9185, -54.9575, 13.8478, -174.869, 13.8697, 65.1392, 0.0581346, 121.617
39, 0.00000, 120.466, -31.8852, 121.082, -151.796, 120.89, 88.2117, 0, 0, 13.9291, -54.959, 13.8583, -174.87, 13.8802, 65.1379, 0.0582759, 121.625
40, 0.00000, 119.972, -31.9936, 120.634, -151.898, 120.428, 88.1104, 0, 0, 14.7102, -55.0673, 14.6296, -174.972, 14.6546, 65.0366, 0.0662434, 121.654
41, 0.00000, 120.161, -31.952, 120.806, -151.859, 120.605, 88.1493, 0, 0, 14.4107, -55.0265, 14.3337, -174.933, 14.3576, 65.075, 0.0633131, 121.658
42, 0.00000, 119.775, -32.0789, 120.325, -151.96, 120.249, 88.0741, 0, 0, 13.8718, -55.1527, 13.8084, -175.034, 13.8172, 65.0003, 0.0575981, 98.9036
43, 0.00000, 119.98, -32.0338, 120.512, -151.918, 120.441, 88.1164, 0, 0, 13.5491, -55.1084, 13.4893, -174.992, 13.4972, 65.042, 0.0547863, 98.2751
44, 0.00000, 122.938, -31.3811, 123.229, -151.298, 123.225, 88.7302, 0, 0, 8.83862, -54.4555, 8.81769, -174.373, 8.818, 65.656, 0.0224596, 84.663
45, 0.00000, 123.078, -31.3501, 123.358, -151.269, 123.357, 88.7594, 0, 0, 8.61319, -54.4242, 8.59362, -174.343, 8.59369, 65.6854, 0.0213343, 83.6338
46, 0.00000, 123.892, -31.1692, 124.113, -151.096, 124.128, 88.9307, 0, 0, 7.29238, -54.2432, 7.27939, -174.17, 7.2785, 65.8567, 0.0157385, 77.4313
47, 0.00000, 124.526, -31.0281, 124.702, -150.962, 124.73, 89.0646, 0, 0, 6.25786, -54.1028, 6.24895, -174.036, 6.24759, 65.9901, 0.0121822, 71.6781
48, 0.00000, 125.748, -30.7551, 125.843, -150.7, 125.893, 89.3242, 0, 0, 4.2468, -53.8301, 4.24355, -173.775, 4.24189, 66.2495, 0.00689414, 57.4251
