hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,V4,VAngle4,I1,IAngle1,I2,IAngle2,I3,IAngle3,I4,IAngle4
25, 0.00000, 124.151, -30.6332, 124.449, -150.518, 124.503, 89.5612, 0, 0, 2.38668, -53.7073, 2.38096, -173.592, 2.37993, 66.4872, 0.00807176, 61.0404
26, 0.00000, 124.151, -30.6332, 124.449, -150.518, 124.503, 89.5612, 0, 0, 2.38665, -53.7071, 2.38093, -173.592, 2.3799, 66.4873, 0.00806821, 61.0246
27, 0.00000, 123.565, -30.7075, 123.927, -150.583, 123.963, 89.4982, 0, 0, 2.79093, -53.7812, 2.78279, -173.657, 2.78198, 66.4243, 0.0101299, 66.7776
28, 0.00000, 123.438, -30.7236, 123.814, -150.597, 123.846, 89.4845, 0, 0, 2.87897, -53.7968, 2.87026, -173.67, 2.86951, 66.4109, 0.0106077, 67.9044
29, 0.00000, 123.081, -30.7688, 123.497, -150.636, 123.518, 89.4463, 0, 0, 3.12556, -53.8426, 3.11505, -173.71, 3.11452, 66.3724, 0.0120831, 71.0292
30, 0.00000, 122.837, -30.7996, 123.28, -150.663, 123.294, 89.4203, 0, 0, 3.29395, -53.8734, 3.28212, -173.737, 3.28177, 66.3464, 0.0131536, 72.9934
31, 0.00000, 123.397, -30.7077, 124.004, -150.616, 123.815, 89.3922, 0, 0, 3.83266, -53.7817, 3.81391, -173.69, 3.81969, 66.3182, 0.0154664, 121.089
32, 0.00000, 122.909, -30.7695, 123.573, -150.669, 123.366, 89.3398, 0, 0, 4.17319, -53.8433, 4.1508, -173.743, 4.15775, 66.266, 0.0184258, 121.22
33, 0.00000, 122.064, -30.8765, 122.827, -150.761, 122.589, 89.2496, 0, 0, 4.76436, -53.95, 4.73482, -173.835, 4.74399, 66.1758, 0.0242564, 121.273
34, 0.00000, 121.687, -30.924, 122.495, -150.802, 122.243, 89.2097, 0, 0, 5.02813, -53.9978, 4.99499, -173.876, 5.00529, 66.1358, 0.0271729, 121.308
35, 0.00000, 117.687, -31.4252, 118.994, -151.232, 118.583, 88.7942, 0, 0, 7.84391, -54.4988, 7.75789, -174.306, 7.78473, 65.7203, 0.0696982, 121.606
36, 0.00000, 118.512, -31.3223, 119.713, -151.144, 119.336, 88.8787, 0, 0, 7.26084, -54.3969, 7.18779, -174.218, 7.21059, 65.8046, 0.0592759, 121.588
37, 0.00000, 118.018, -31.384, 119.282, -151.197, 118.885, 88.828, 0, 0, 7.60981, -54.4575, 7.52927, -174.27, 7.55439, 65.7542, 0.0653121, 121.59
38, 0.00000, 117.494, -31.4491, 118.827, -151.252, 118.408, 88.7747, 0, 0, 7.97988, -54.5225, 7.89055, -174.326, 7.91843, 65.7009, 0.0723278, 121.632
39, 0.00000, 117.485, -31.4502, 118.819, -151.253, 118.399, 88.7738, 0, 0, 7.98646, -54.5241, 7.89682, -174.327, 7.92481, 65.6999, 0.0725543, 121.647
40, 0.00000, 116.836, -31.5308, 118.256, -151.322, 117.808, 88.7081, 0, 0, 8.44598, -54.6041, 8.34484, -174.395, 8.37643, 65.6343, 0.0817314, 121.684
41, 0.00000, 117.085, -31.4999, 118.472, -151.295, 118.035, 88.7333, 0, 0, 8.26987, -54.5741, 8.17299, -174.369, 8.20327, 65.6593, 0.078301, 121.692
42, 0.00000, 116.083, -31.6431, 117.335, -151.39, 117.116, 88.7223, 0, 0, 8.00283, -54.7162, 7.91748, -174.463, 7.9325, 65.6485, 0.0711191, 100.499
43, 0.00000, 116.353, -31.6096, 117.571, -151.361, 117.363, 88.7495, 0, 0, 7.81258, -54.6838, 7.73155, -174.435, 7.74532, 65.6755, 0.0678666, 99.824
44, 0.00000, 120.305, -31.1182, 121.039, -150.939, 120.969, 89.1533, 0, 0, 5.05053, -54.1923, 5.01988, -174.013, 5.02277, 66.0793, 0.0281708, 87.9495
45, 0.00000, 120.493, -31.0946, 121.205, -150.918, 121.141, 89.1729, 0, 0, 4.91964, -54.1686, 4.89075, -173.992, 4.8933, 66.0989, 0.026785, 87.0926
46, 0.00000, 121.594, -30.9564, 122.178, -150.799, 122.151, 89.2885, 0, 0, 4.155, -54.0308, 4.13509, -173.873, 4.13601, 66.2144, 0.0196346, 81.487
47, 0.00000, 122.455, -30.8479, 122.941, -150.705, 122.942, 89.3796, 0, 0, 3.55844, -53.9221, 3.54434, -173.779, 3.54433, 66.3056, 0.0149785, 75.9124
48, 0.00000, 124.123, -30.6368, 124.424, -150.521, 124.477, 89.5583, 0, 0, 2.40583, -53.7113, 2.39998, -173.596, 2.39896, 66.4842, 0.00817417, 61.3968
