hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 14.453, 6.28919, 14.0709, 6.45246, 14.1206, 6.03986, 0, 0
2, 0.00000, 14.4531, 6.28926, 14.071, 6.4525, 14.1207, 6.03991, 0, 0
3, 0.00000, 16.3158, 7.14439, 15.9321, 7.30113, 15.9882, 6.8905, 0, 0
4, 0.00000, 16.7218, 7.3319, 16.3378, 7.487, 16.3955, 7.07688, 0, 0
5, 0.00000, 17.8536, 7.85641, 17.4687, 8.00686, 17.5308, 7.59825, 0, 0
6, 0.00000, 18.626, 8.21609, 18.2404, 8.36307, 18.3059, 7.95561, 0, 0
7, 0.00000, 17.7363, 7.90113, 17.7355, 7.85785, 17.7734, 7.87873, 0, 0
8, 0.00000, 19.2878, 8.62597, 19.2869, 8.57409, 19.3323, 8.59928, 0, 0
9, 0.00000, 21.9721, 9.89335, 21.9709, 9.82449, 22.0312, 9.85788, 0, 0
10, 0.00000, 23.1664, 10.4629, 23.165, 10.3853, 23.233, 10.4229, 0, 0
11, 0.00000, 35.7705, 16.684, 35.7658, 16.4735, 35.9505, 16.5747, 0, 0
12, 0.00000, 33.1791, 15.3731, 33.1753, 15.1964, 33.3303, 15.2814, 0, 0
13, 0.00000, 34.7309, 16.1553, 34.7267, 15.9595, 34.8983, 16.0537, 0, 0
14, 0.00000, 36.3728, 16.9914, 36.368, 16.7721, 36.5603, 16.8776, 0, 0
15, 0.00000, 36.4003, 17.0055, 36.3955, 16.7858, 36.5882, 16.8914, 0, 0
16, 0.00000, 38.4326, 18.0492, 38.4269, 17.7989, 38.6465, 17.9192, 0, 0
17, 0.00000, 37.6535, 17.6486, 37.6481, 17.4095, 37.8578, 17.5244, 0, 0
18, 0.00000, 39.8463, 18.6532, 39.4358, 18.6065, 39.6815, 18.2744, 0, 0
19, 0.00000, 39.0004, 18.2165, 38.5908, 18.1814, 38.826, 17.8442, 0, 0
20, 0.00000, 26.627, 12.0237, 26.2335, 12.1215, 26.3455, 11.7318, 0, 0
21, 0.00000, 26.0342, 11.7362, 25.6413, 11.8388, 25.7489, 11.4472, 0, 0
22, 0.00000, 22.56, 10.0694, 22.1706, 10.1954, 22.2562, 9.79521, 0, 0
23, 0.00000, 19.838, 8.78346, 19.4512, 8.92437, 19.5226, 8.51892, 0, 0
24, 0.00000, 14.5424, 6.33019, 14.1601, 6.49298, 14.2103, 6.08048, 0, 0
